"ID" "Annual_TMP" "state_0" "state_1" "interval"
"1" 685303 3.60900004704793 "B" "B" 9
"2" 685016 4.70133334795634 "M" "M" 7
"3" 685241 4.70133334795634 "B" "B" 7
"4" 685334 4.70133334795634 "M" "M" 7
"5" 685364 4.70133334795634 "B" "B" 7
"6" 685415 4.70133334795634 "B" "B" 7
"7" 685429 4.70133334795634 "B" "B" 7
"8" 685603 4.70133334795634 "M" "M" 7
"9" 685676 4.70133334795634 "B" "B" 7
"10" 685786 4.70133334795634 "M" "M" 7
"11" 686062 4.70133334795634 "M" "M" 7
"12" 686185 4.70133334795634 "M" "M" 7
"13" 686269 4.70133334795634 "M" "M" 7
"14" 686270 4.70133334795634 "M" "M" 7
"15" 686286 4.70133334795634 "R" "M" 7
"16" 686304 4.70133334795634 "R" "R" 7
"17" 686607 4.70133334795634 "R" "B" 7
"18" 685303 3.36866670449575 "B" "B" 5
"19" 686012 3.36866670449575 "B" "M" 5
"20" 686545 3.36866670449575 "B" "B" 5
"21" 686573 3.36866670449575 "B" "B" 5
"22" 685016 4.60533332824707 "M" "M" 5
"23" 685241 4.60533332824707 "B" "B" 5
"24" 685334 4.60533332824707 "M" "M" 5
"25" 685364 4.60533332824707 "B" "B" 5
"26" 685415 4.60533332824707 "B" "B" 5
"27" 685429 4.60533332824707 "B" "B" 5
"28" 685526 4.14399998188019 "M" "M" 5
"29" 685603 4.60533332824707 "M" "M" 5
"30" 685676 4.60533332824707 "B" "B" 5
"31" 685786 4.60533332824707 "M" "M" 5
"32" 686062 4.60533332824707 "M" "M" 5
"33" 686099 4.51900002956391 "B" "B" 5
"34" 686185 4.60533332824707 "M" "M" 5
"35" 686269 4.60533332824707 "M" "M" 5
"36" 686270 4.60533332824707 "M" "M" 5
"37" 686286 4.60533332824707 "M" "M" 5
"38" 686304 4.60533332824707 "R" "B" 5
"39" 686339 4.51900002956391 "M" "M" 5
"40" 686607 4.60533332824707 "B" "B" 5
"41" 2 6.01299999554952 "T" "T" 8
"42" 15 3.00833333333333 "T" "T" 8
"43" 22 5.99066670735677 "T" "T" 8
"44" 85 4.25966664950053 "B" "B" 8
"45" 93 4.06700003941853 "M" "M" 8
"46" 139 2.34899997711182 "M" "M" 8
"47" 187 4.07033335367839 "T" "T" 8
"48" 208 3.71500001748403 "B" "B" 8
"49" 294 4.79033328692118 "M" "M" 8
"50" 304 5.86466668446858 "T" "T" 8
"51" 306 2.34899997711182 "M" "M" 8
"52" 332 3.76633333365123 "T" "T" 8
"53" 393 3.05700002511343 "B" "B" 8
"54" 402 3.90500000317892 "M" "M" 8
"55" 424 5.99066670735677 "T" "T" 8
"56" 433 3.36933331489563 "T" "T" 8
"57" 439 5.08366664250692 "M" "M" 8
"58" 502 4.00999999841054 "M" "M" 8
"59" 512 4.95366670290629 "T" "T" 8
"60" 515 3.13700002034505 "B" "B" 8
"61" 528 3.56866668860118 "T" "T" 8
"62" 530 3.54866667588551 "R" "R" 8
"63" 555 3.8953333457311 "M" "M" 8
"64" 570 4.8560000260671 "B" "M" 8
"65" 590 2.72066663503647 "M" "M" 8
"66" 621 3.42099998792013 "M" "M" 8
"67" 686 4.8913332939148 "B" "B" 8
"68" 687 3.60466667811076 "B" "B" 8
"69" 701 6.16133330663045 "T" "T" 8
"70" 748 3.56166668732961 "B" "B" 8
"71" 796 4.17966667016348 "M" "M" 8
"72" 800 3.34000002543131 "M" "M" 8
"73" 890 4.831999985377 "M" "M" 8
"74" 943 5.53966670036315 "M" "M" 8
"75" 983 4.8913332939148 "M" "M" 8
"76" 1023 6.21866664886474 "T" "T" 8
"77" 1028 5.15099999109904 "M" "M" 8
"78" 1056 5.12433338165283 "M" "T" 8
"79" 1071 3.35033334096273 "M" "M" 8
"80" 1109 3.21566666762034 "B" "B" 8
"81" 1157 4.97200001080831 "T" "T" 8
"82" 1158 5.10133330027262 "T" "T" 8
"83" 1170 2.87966670195262 "T" "T" 8
"84" 1182 3.48799999554952 "M" "M" 8
"85" 1235 5.78200001716614 "T" "T" 8
"86" 1363 4.79033328692118 "M" "M" 8
"87" 1386 5.15099999109904 "M" "M" 8
"88" 1418 3.77133330504099 "B" "B" 8
"89" 1452 3.9409999926885 "M" "T" 8
"90" 1475 6.08866669336955 "T" "T" 8
"91" 1532 5.02266670862834 "T" "M" 8
"92" 1563 4.02366665999094 "M" "M" 8
"93" 1575 3.79966669082641 "T" "T" 8
"94" 1584 3.8900000333786 "T" "T" 8
"95" 1591 3.54866667588551 "B" "B" 8
"96" 1607 6.08866669336955 "T" "T" 8
"97" 1655 3.48533334732056 "B" "B" 8
"98" 1669 3.3553333123525 "M" "M" 8
"99" 1675 3.16199998060863 "T" "T" 8
"100" 1681 6.20900001525879 "T" "T" 8
"101" 1717 4.71766668160756 "M" "M" 8
"102" 1812 3.56899999777476 "M" "M" 8
"103" 1944 3.37233331998189 "R" "B" 8
"104" 1946 3.74633333683014 "M" "M" 8
"105" 1953 4.88966665267944 "M" "T" 8
"106" 1964 3.40033333301544 "M" "M" 8
"107" 1965 6.03500003814698 "T" "T" 8
"108" 1980 3.48799999554952 "T" "T" 8
"109" 2016 3.8900000333786 "M" "M" 8
"110" 2021 4.68499995867412 "M" "M" 8
"111" 2024 2.93833332061767 "M" "M" 8
"112" 2250 3.39499998092652 "B" "B" 8
"113" 2261 3.48533334732056 "T" "T" 8
"114" 2323 4.15533332824707 "M" "M" 8
