Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Tachyglossidae,Tachyglossus,aculeatus,3025,0
Mammal,Tachyglossidae,Zaglossus,attenboroughi,8532.39,0
Mammal,Tachyglossidae,Zaglossus,bartoni,7180,0
Mammal,Tachyglossidae,Zaglossus,bruijni,10139.5,0
Mammal,Ornithorhynchidae,Ornithorhynchus,anatinus,1484.25,0
Mammal,Didelphidae,Caluromys,philander,229.25,0
Mammal,Didelphidae,Caluromys,derbianus,297,0
Mammal,Didelphidae,Caluromys,lanatus,325,0
Mammal,Didelphidae,Caluromysiops,irrupta,250,0
Mammal,Didelphidae,Glironia,venusta,114,0
Mammal,Didelphidae,Chironectes,minimus,946,0
Mammal,Didelphidae,Didelphis,aurita,1163.99,0
Mammal,Didelphidae,Didelphis,imperfecta,1260.04,0
Mammal,Didelphidae,Didelphis,marsupialis,1091.16,0
Mammal,Didelphidae,Didelphis,pernigra,1260.04,0
Mammal,Didelphidae,Didelphis,virginiana,2195.48,0
Mammal,Didelphidae,Didelphis,albiventris,904,0
Mammal,Didelphidae,Gracilinanus,formosus,18.9,0
Mammal,Didelphidae,Gracilinanus,emiliae,7.6,0
Mammal,Didelphidae,Gracilinanus,microtarsus,31,0
Mammal,Didelphidae,Gracilinanus,marica,23.8,0
Mammal,Didelphidae,Gracilinanus,dryas,18,0
Mammal,Didelphidae,Gracilinanus,aceramarcae,20.5,0
Mammal,Didelphidae,Gracilinanus,agricolai,18.9,0
Mammal,Didelphidae,Gracilinanus,agilis,22,0
Mammal,Didelphidae,Gracilinanus,ignitus,18.9,0
Mammal,Didelphidae,Hyladelphys,kalinowskii,16.75,0
Mammal,Didelphidae,Lestodelphys,halli,76,0
Mammal,Didelphidae,Lutreolina,crassicaudata,537.3,0
Mammal,Didelphidae,Marmosa,murina,26,0
Mammal,Didelphidae,Marmosa,xerophila,46.2,0
Mammal,Didelphidae,Marmosa,tyleriana,32.4,0
Mammal,Didelphidae,Marmosa,rubra,63,0
Mammal,Didelphidae,Marmosa,quichua,38.23,0
Mammal,Didelphidae,Marmosa,mexicana,49.45,0
Mammal,Didelphidae,Marmosa,lepida,14,0
Mammal,Didelphidae,Marmosa,andersoni,47.4,0
Mammal,Didelphidae,Marmosa,robinsoni,56.67,0
Mammal,Didelphidae,Marmosops,handleyi,30.7,0
Mammal,Didelphidae,Marmosops,juninensis,31.57,0
Mammal,Didelphidae,Marmosops,pinheiroi,31.57,0
Mammal,Didelphidae,Marmosops,paulensis,38.89,0
Mammal,Didelphidae,Marmosops,parvidens,15,0
Mammal,Didelphidae,Marmosops,noctivagus,21,0
Mammal,Didelphidae,Marmosops,neblina,31.57,0
Mammal,Didelphidae,Marmosops,bishopi,19.5,0
Mammal,Didelphidae,Marmosops,impavidus,40.5,0
Mammal,Didelphidae,Marmosops,incanus,62.3,0
Mammal,Didelphidae,Marmosops,fuscatus,60,0
Mammal,Didelphidae,Marmosops,dorothea,37.5,0
Mammal,Didelphidae,Marmosops,cracens,25.5,0
Mammal,Didelphidae,Marmosops,invictus,29.2,0
