x,y,status
31.5,1,A
85.25,30.75,D
83.5,38.5,A
84,37.75,A
83,33.25,A
33.25,0.25,A
99.5,33.25,A
99.5,32.5,A
94,31.25,D
96.5,32,A
100,31,A
98,31.75,A
34.75,1,A
98,34.75,D
94,39.5,A
91.25,39.25,A
90.75,39,D
34.25,1.5,A
9,41.25,A
9.75,48,D
9,49.5,D
3,49.25,A
2.75,49,A
3.25,47,A
5,48,D
6.75,41.75,A
7,43,A
6,44,A
4.75,41.5,A
3,40.25,A
1,44.5,A
35.25,3.25,A
12,42,D
32.5,2.75,A
19.75,48,A
16.5,45.5,D
16.25,41.25,D
11.25,40.5,D
10.75,46.5,A
30.25,5.25,A
29.75,49,A
31,4.75,A
29.75,45.25,A
29.75,42.25,A
29.75,40.75,A
27,44,A
31.25,7.75,D
26.5,44.75,A
22.25,44.25,D
22.5,47,A
23,48.5,D
30.25,8.5,A
34.5,9.5,A
30.75,42.75,A
32,44.25,A
31,45,A
31.5,45.75,D
33,47,A
33.5,47.25,A
32.5,49,A
34.75,7.75,A
38.5,49.25,A
39,42,A
36,42.25,A
35,42,D
36.75,45.75,A
30,41.75,A
42,48.25,D
47.5,48.75,A
42.5,40,D
35,4.25,A
41.25,41,D
41.75,41.25,A
43,43,A
43,45,A
43,41.25,D
46.75,40.5,A
35.25,4,D
49,43,A
49.75,47,D
37,7,A
36.25,7.25,D
37.5,8.75,A
55.25,41.75,A
39.5,7.75,A
50,40.5,A
63.25,45.75,A
68.75,46.5,A
68,43.25,D
65,43,D
64,43,A
71.75,49.25,A
77.75,49.25,D
78.75,49.75,A
84.5,45.75,A
85.5,45.5,D
90.75,40.25,A
92.25,41.5,A
93.75,42.75,A
95.5,40.5,A
99,42,A
97.25,49,A
98,49,D
97.75,49.75,D
90.25,45.75,D
94.5,45,A
6,51,A
6.5,50.5,A
7.25,52.25,A
6.5,53,A
7,54.25,A
8.25,56.25,A
9.5,57.5,A
9.25,58.75,A
5.5,55,A
6.5,59,A
5.25,59,A
4.25,56.5,A
1,57.75,A
1.75,57.5,A
0.5,55,A
0.5,53.25,A
1,53,A
42,1.25,A
17,57.5,A
18.5,59.75,A
43.75,2.75,A
16.25,58.75,A
15.25,58.75,A
14,59,A
13.75,59.75,A
13.25,58.75,A
12.5,59,A
12,58.75,A
12.25,58.5,A
12,57.5,A
43.75,3.75,A
15,54.25,A
14,54.5,A
12,52,A
11.75,50.75,A
11.25,50.25,A
14.25,50.5,A
43.25,6.5,A
16.5,50,A
28.25,51,A
29.5,52.75,A
27.75,55.5,D
29.75,56,D
29.5,57.75,D
27.5,58.5,A
26.75,59.5,A
26,59,D
25,58.25,A
41,7.5,D
24.25,59.25,A
25,57,A
22.25,55.5,A
21,58.75,A
23,53.5,D
22,52,D
22.25,51,D
23.25,50.75,D
30.25,55.5,A
43.5,9,A
31.5,53,D
30.75,50.25,A
36.5,50.75,A
41.5,51.25,D
43,57,A
46,3.25,D
41.75,58,D
46.5,4,D
46.75,55,A
47.5,50.75,A
54,53,D
53,55.75,A
53,56,D
47.25,4.75,D
53.25,56,D
57.5,50.25,A
48,5,A
49,5,D
67.25,58.75,D
68,53.25,D
49.25,5.5,A
64.75,51.75,A
70,53.5,A
71,52,A
79.5,56.25,A
99.75,53,A
100,55,A
46,8,A
97,53.2,A
49,9,D
93,50.75,A
8.5,69.5,A
0.5,69,A
0.5,68.25,A
48,9,D
0.5,65.5,A
1.5,63.25,A
4,61.5,A
5,63.75,A
4.75,64,A
5,64.5,A
7.75,61,A
7.75,60.75,A
9,60.25,A
9,66.75,A
9.5,68,A
6.5,67.75,A
5.75,67.75,A
5.75,68.5,A
6.25,68.75,A
19,65.5,A
10,60.25,A
13,63.25,A
12.75,62.75,A
12,62,A
11.25,62,A
10.5,63,A
11.25,63,A
12,63.75,A
10.5,65.25,A
10.75,65.75,A
11.5,66.25,A
10,66.5,A
10.75,68.25,A
10.25,69.25,A
12,69,A
13,68.5,A
