"season","year","week","week_centered","tests_pos","tests_total"
"2009-2010",2009,41,-11,1080,3324
"2009-2010",2009,42,-10,1462,3693
"2009-2010",2009,43,-9,1401,3642
"2009-2010",2009,44,-8,986,3013
"2009-2010",2009,45,-7,814,2771
"2009-2010",2009,46,-6,504,2546
"2009-2010",2009,47,-5,316,2176
"2009-2010",2009,48,-4,237,1913
"2009-2010",2009,49,-3,189,1881
"2009-2010",2009,50,-2,134,1605
"2009-2010",2009,51,-1,138,1642
"2009-2010",2009,52,0,63,1217
"2009-2010",2010,1,1,72,1592
"2009-2010",2010,2,2,50,1382
"2009-2010",2010,3,3,41,1592
"2009-2010",2010,4,4,26,1574
"2009-2010",2010,5,5,22,1816
"2009-2010",2010,6,6,17,1982
"2009-2010",2010,7,7,12,2047
"2009-2010",2010,8,8,11,2142
"2009-2010",2010,9,9,6,1909
"2009-2010",2010,10,10,8,1457
"2009-2010",2010,11,11,3,1367
"2009-2010",2010,12,12,4,1109
"2009-2010",2010,13,13,3,812
"2009-2010",2010,14,14,2,781
"2009-2010",2010,15,15,3,637
"2009-2010",2010,16,16,3,567
"2009-2010",2010,17,17,5,558
"2009-2010",2010,18,18,2,532
"2009-2010",2010,19,19,1,322
"2009-2010",2010,20,20,0,202
"2009-2010",2010,21,21,3,262
"2009-2010",2010,22,22,2,245
"2009-2010",2010,23,23,0,220
"2009-2010",2010,24,24,7,251
"2009-2010",2010,25,25,5,282
"2009-2010",2010,26,26,6,247
"2009-2010",2010,27,27,3,279
"2009-2010",2010,28,28,3,246
"2009-2010",2010,29,29,1,216
"2009-2010",2010,30,30,2,211
"2009-2010",2010,31,31,0,197
"2009-2010",2010,32,32,0,156
"2009-2010",2010,33,33,0,229
"2009-2010",2010,34,34,1,161
"2009-2010",2010,35,35,2,164
"2009-2010",2010,36,36,1,171
"2009-2010",2010,37,37,3,158
"2009-2010",2010,38,38,0,223
"2009-2010",2010,39,39,1,247
"2009-2010",2010,40,40,5,279
"2010-2011",2010,41,-11,4,420
"2010-2011",2010,42,-10,2,440
"2010-2011",2010,43,-9,8,344
"2010-2011",2010,44,-8,4,530
"2010-2011",2010,45,-7,8,638
"2010-2011",2010,46,-6,9,750
"2010-2011",2010,47,-5,17,783
"2010-2011",2010,48,-4,13,770
"2010-2011",2010,49,-3,25,983
"2010-2011",2010,50,-2,79,1227
"2010-2011",2010,51,-1,99,1392
"2010-2011",2010,52,0,83,1498
"2010-2011",2011,1,1,93,1715
"2010-2011",2011,2,2,177,2282
"2010-2011",2011,3,3,231,2192
"2010-2011",2011,4,4,364,2319
"2010-2011",2011,5,5,481,3010
"2010-2011",2011,6,6,612,3007
"2010-2011",2011,7,7,820,3503
"2010-2011",2011,8,8,1053,3653
"2010-2011",2011,9,9,958,3423
"2010-2011",2011,10,10,944,3250
"2010-2011",2011,11,11,861,3278
"2010-2011",2011,12,12,512,2464
"2010-2011",2011,13,13,261,2077
"2010-2011",2011,14,14,143,1664
"2010-2011",2011,15,15,105,1498
"2010-2011",2011,16,16,41,1134
"2010-2011",2011,17,17,23,1024
"2010-2011",2011,18,18,14,878
"2010-2011",2011,19,19,3,585
"2010-2011",2011,20,20,3,498
"2010-2011",2011,21,21,3,468
"2010-2011",2011,22,22,1,435
"2010-2011",2011,23,23,3,452
"2010-2011",2011,24,24,0,362
"2010-2011",2011,25,25,0,285
"2010-2011",2011,26,26,0,292
"2010-2011",2011,27,27,0,287
"2010-2011",2011,28,28,0,292
"2010-2011",2011,29,29,0,279
"2010-2011",2011,30,30,0,256
"2010-2011",2011,31,31,0,239
"2010-2011",2011,32,32,1,187
"2010-2011",2011,33,33,2,217
"2010-2011",2011,34,34,1,221
"2010-2011",2011,35,35,2,237
"2010-2011",2011,36,36,0,246
"2010-2011",2011,37,37,0,272
"2010-2011",2011,38,38,0,333
"2010-2011",2011,39,39,1,324
"2010-2011",2011,40,40,0,339
"2011-2012",2011,41,-11,1,388
"2011-2012",2011,42,-10,4,580
